Vehicle ID,Origin,Destination,Travel Time,Distance,Emissions,Avg Speed,Passengers,Completed
0,1757,383,152,2253.57,4.10447,14.8261,5,Yes
1,1446,382,1386.31,5006.17,5.46935,3.61115,1,Yes
2,1541,1327,63.0996,1026.65,1.73274,16.2702,5,Yes
3,293,1941,1272.04,11659.7,17.7171,9.16615,2,Yes
4,1483,1437,144.3,2750.93,3.0859,19.064,3,Yes
5,13,1382,1645.75,7962.85,12.9651,4.83844,4,Yes
6,1779,1393,1429.6,12873.4,16.1968,9.00491,1,Yes
7,1417,1819,823.746,4420.82,6.33652,5.36672,3,Yes
8,1668,1817,273.507,3858.14,5.27665,14.1061,3,Yes
9,1389,1805,80.4993,1301.62,2.17034,16.1693,5,Yes
10,590,828,73.2995,356.967,0.6993,4.86998,3,Yes
11,1797,400,194.503,3078.2,5.02298,15.826,3,Yes
12,1782,1641,1168.56,8315.46,14.5297,7.11598,4,Yes
13,1556,415,246.406,4344.57,8.20394,17.6318,5,Yes
14,1327,1418,937.718,6549.96,7.51437,6.985,2,Yes
15,1039,1499,213.204,2514.75,3.27119,11.7951,3,Yes
16,1469,1674,171.701,2810.22,3.32616,16.3669,1,Yes
17,1740,1643,400.215,5586,8.8119,13.9575,1,Yes
18,1486,540,884.931,8743.77,9.4904,9.88073,1,Yes
19,1329,1490,1361.71,10430.3,18.0681,7.65968,3,Yes
20,1465,1644,833.743,9065.64,16.0295,10.8734,3,Yes
21,1773,1780,1173.26,8237.11,9.23434,7.0207,3,Yes
22,1466,66,1220.55,10562.6,17.6025,8.65398,1,Yes
23,108,293,1341.72,9923.64,16.7942,7.39621,1,Yes
24,1679,1405,977.908,5187.67,6.01111,5.30486,4,Yes
25,1101,1020,1599.76,8411.17,16.6757,5.25778,5,Yes
26,1854,1615,525.419,5696.63,6.1246,10.8421,5,Yes
27,1470,1627,1101.58,9651.62,12.0704,8.76163,4,Yes
28,1725,1337,319.31,2648.22,2.7992,8.29357,4,Yes
29,187,1377,1579.46,7859.31,10.7535,4.97594,5,Yes
30,47,1687,303.409,3419.51,3.68577,11.2703,3,Yes
31,1552,1108,91.0992,1296.46,1.58353,14.2313,1,Yes
32,1410,1808,1446.69,7230.66,8.30174,4.99806,4,Yes
33,1937,1808,805.25,5152.89,9.60418,6.39912,3,Yes
34,1465,1444,811.949,8256.05,11.3429,10.1682,2,Yes
35,4,1362,466.419,4330.96,5.45013,9.28555,2,Yes
36,1340,397,332.211,3377.78,6.05352,10.1676,3,Yes
37,1442,1507,650.688,4369.78,6.4389,6.71563,3,Yes
38,1470,1540,119.599,2598.23,4.14237,21.7245,5,Yes
39,1404,1536,991.305,5055.28,8.07441,5.09963,4,Yes
40,1914,1335,165.201,1729.58,2.64061,10.4695,4,Yes
41,408,416,107.499,1832.36,3.4858,17.0454,5,Yes
42,834,1715,1241.34,10648.4,14.6633,8.57813,2,Yes
43,1655,1703,61.2996,1040.1,1.74796,16.9675,1,Yes
44,1344,1363,202.003,4233.88,4.34369,20.9595,3,Yes
45,1332,1577,1882.49,8224.11,15.4875,4.36875,3,Yes
46,1770,1658,41.7999,707.171,1.12141,16.918,4,Yes
47,1407,1769,219.704,3223.09,5.65777,14.6702,5,Yes
48,97,1421,68.8995,1512.41,2.61026,21.9509,2,Yes
49,1116,1221,644.89,3266.04,5.49763,5.0645,4,Yes
50,155,1665,567.608,4448.85,5.08679,7.83789,3,Yes
51,1469,1754,194.403,3175.41,3.75595,16.3342,4,Yes
52,1434,1021,748.264,6321.1,10.3168,8.44769,3,Yes
53,1754,1711,119.199,1867.76,2.33582,15.6693,1,Yes
54,1680,34,1540.57,13344.2,14.7923,8.66183,2,Yes
55,1508,71,131.699,1814.25,3.52718,13.7758,2,Yes
56,769,1615,283.708,1174.75,1.54559,4.14071,4,Yes
57,1364,758,1699.73,12893.8,20.2792,7.58576,5,Yes
58,1388,1575,347.212,2862.77,3.96257,8.24502,2,Yes
59,1468,1418,1182.06,9583.08,10.289,8.10711,1,Yes
60,1693,1489,1398.81,7172.05,13.5265,5.12727,5,Yes
61,1654,108,692.278,3971.17,5.78418,5.73638,5,Yes
62,1651,1559,351.712,3879.99,4.25993,11.0317,2,Yes
63,416,421,31.7001,301.868,0.412473,9.52264,4,Yes
64,1338,1038,360.913,2179.52,3.55392,6.0389,2,Yes
65,289,1642,1039.69,7904.39,11.6225,7.60262,4,Yes
66,1505,1749,1039.19,5729.98,9.36272,5.51387,4,Yes
67,1501,1375,56.2997,978.134,1.66168,17.3737,1,Yes
68,1741,1447,484.42,5446.94,5.53287,11.2443,1,Yes
